vacuum_bond_dimension,momentum,eigenvalue_index,energy,eigen_residual,residual_converged,vacuum_gradient_residual
16,0.3,2,0.7971886506798269,2.3029210997746612e-11,true,9.400832934044839e-11
16,0.3,3,0.889310423500721,8.576669568649711e-10,true,9.400832934044839e-11
16,0.38,1,0.8189717877937162,1.0644010462821729e-11,true,9.400832934044839e-11
16,0.38,2,0.9293803091180106,9.78992613858894e-12,true,9.400832934044839e-11
16,0.38,3,1.0087341568319874,7.431934855387333e-10,true,9.400832934044839e-11
24,0.025,1,0.2599886484512707,1.7935023149834754e-11,true,7.849177829369417e-11
24,0.025,2,0.5028797156749206,3.36330627722333e-11,true,7.849177829369417e-11
24,0.025,3,0.5819773969135094,9.459508599362764e-10,true,7.849177829369417e-11
24,0.05,1,0.2748387751986705,3.058826341008923e-11,true,7.849177829369417e-11
24,0.05,2,0.5107074060892067,7.20466547997701e-11,true,7.849177829369417e-11
24,0.05,3,0.5887246501655813,8.354003689548873e-10,true,7.849177829369417e-11
24,0.075,1,0.2979411449988581,2.1818320627343084e-11,true,7.849177829369417e-11
24,0.075,2,0.523491644613855,4.744726035072915e-11,true,7.849177829369417e-11
24,0.075,3,0.5998012196578115,9.879878719738598e-10,true,7.849177829369417e-11
24,0.095,1,0.3211846070947296,2.1524662017020753e-11,true,7.849177829369417e-11
24,0.095,2,0.537052713652625,4.579184099576311e-11,true,7.849177829369417e-11
24,0.095,3,0.6116242035682418,9.488388297472357e-10,true,7.849177829369417e-11
24,0.1,1,0.32754395485646937,1.943949567150188e-11,true,7.849177829369417e-11
24,0.1,2,0.5408783165775506,3.5537685891409044e-11,true,7.849177829369417e-11
24,0.1,3,0.6149725504751271,7.879012536577387e-10,true,7.849177829369417e-11
24,0.15,1,0.40015905543643304,2.5302040059329866e-11,true,7.849177829369417e-11
24,0.15,2,0.5877038708600593,7.132651560384358e-11,true,7.849177829369417e-11
24,0.15,3,0.656381396787513,7.955008309822257e-10,true,7.849177829369417e-11
24,0.19,1,0.4663872581557208,1.581349970115403e-11,true,7.849177829369417e-11
24,0.19,2,0.6347013842678841,3.328576427965427e-11,true,7.849177829369417e-11
24,0.19,3,0.6986322975540139,8.542229900733968e-10,true,7.849177829369417e-11
24,0.2,1,0.48368867785367464,1.9366445508571863e-11,true,7.849177829369417e-11
24,0.2,2,0.6475425366212051,9.646034050020131e-11,true,7.849177829369417e-11
24,0.2,3,0.7102802425838695,9.180835872617418e-10,true,7.849177829369417e-11
24,0.225,1,0.5279131355409215,1.861057244200456e-11,true,7.849177829369417e-11
24,0.225,2,0.6812843807482594,5.8138676918201904e-11,true,7.849177829369417e-11
24,0.225,3,0.7410741082076514,7.09358290464498e-10,true,7.849177829369417e-11
24,0.285,1,0.6381005579626481,1.5253759378713516e-11,true,7.849177829369417e-11
24,0.285,2,0.77013483793099,9.332100590044872e-11,true,7.849177829369417e-11
24,0.285,3,0.8232598397556048,7.187258097206232e-10,true,7.849177829369417e-11
24,0.3,1,0.6662703308023104,2.178389539712359e-11,true,7.849177829369417e-11
24,0.3,2,0.7937514839628625,8.991287787869581e-11,true,7.849177829369417e-11
24,0.3,3,0.8453289238384452,7.328209917425051e-10,true,7.849177829369417e-11
24,0.38,1,0.8189717284570222,1.8792005777502886e-11,true,7.849177829369417e-11
24,0.38,2,0.926573023304529,3.174622899250992e-11,true,7.849177829369417e-11
24,0.38,3,0.970774897710535,6.635839889839632e-10,true,7.849177829369417e-11
32,0.025,1,0.2599886451413021,1.8606816912030753e-11,true,8.222461838668242e-11
32,0.025,2,0.5021270003868966,3.560630078259367e-11,true,8.222461838668242e-11
32,0.025,3,0.5696075632157314,8.881700983542152e-10,true,8.222461838668242e-11
32,0.05,1,0.27483877208951435,2.5001593739359496e-11,true,8.222461838668242e-11
32,0.05,2,0.509967487698008,5.3814114577461e-11,true,8.222461838668242e-11
32,0.05,3,0.5765097494018845,8.998606717577973e-10,true,8.222461838668242e-11
32,0.075,1,0.29794114216217527,2.3549255814292165e-11,true,8.222461838668242e-11
32,0.075,2,0.5227717971179301,2.5223127628757694e-11,true,8.222461838668242e-11
32,0.075,3,0.5878326576729556,7.952594185589058e-10,true,8.222461838668242e-11
32,0.095,1,0.32118460449453085,2.463402218596164e-11,true,8.222461838668242e-11
32,0.095,2,0.5363531199382272,3.3849016549403836e-11,true,8.222461838668242e-11
32,0.095,3,0.5999083084745388,9.956834823403605e-10,true,8.222461838668242e-11
32,0.1,1,0.32754395232250927,2.1392090903834947e-11,true,8.222461838668242e-11
32,0.1,2,0.5401842558635787,3.028705417437496e-11,true,8.222461838668242e-11
32,0.1,3,0.6033263795495314,7.751119634174467e-10,true,8.222461838668242e-11
32,0.15,1,0.4001590534598105,1.0536433682124707e-11,true,8.222461838668242e-11
32,0.15,2,0.5870718880784146,7.563566675772493e-11,true,8.222461838668242e-11
32,0.15,3,0.645536996572293,7.856598248214552e-10,true,8.222461838668242e-11
32,0.19,1,0.4663872565435418,1.9130542107958743e-11,true,8.222461838668242e-11
32,0.19,2,0.634123035103949,5.5107421089036017e-11,true,8.222461838668242e-11
32,0.19,3,0.688506269661922,7.5309020507617e-10,true,8.222461838668242e-11
32,0.2,1,0.4836886763199401,1.201272261850373e-11,true,8.222461838668242e-11
32,0.2,2,0.6469776153681678,2.3703259129537034e-11,true,8.222461838668242e-11
32,0.2,3,0.7003371474801217,8.649552710517304e-10,true,8.222461838668242e-11
32,0.225,1,0.5279131342073797,1.857572344874983e-11,true,8.222461838668242e-11
32,0.225,2,0.6807526353679096,5.6111340608460286e-11,true,8.222461838668242e-11
32,0.225,3,0.7315871148662336,8.742806525926852e-10,true,8.222461838668242e-11
32,0.285,1,0.6381005570435493,1.1852825357168652e-11,true,8.222461838668242e-11
32,0.285,2,0.7696788767789426,4.937708853651543e-11,true,8.222461838668242e-11
32,0.285,3,0.814827064471554,8.338369768706584e-10,true,8.222461838668242e-11
32,0.3,1,0.6662703299840396,1.64069856118307e-11,true,8.222461838668242e-11
32,0.3,2,0.7933134747128069,1.8315141815206085e-11,true,8.222461838668242e-11
32,0.3,3,0.8371459688384757,8.997404826632627e-10,true,8.222461838668242e-11
32,0.38,1,0.818971728073078,1.8877648821820757e-11,true,8.222461838668242e-11
32,0.38,2,0.9262244824086099,2.635026314892015e-10,true,8.222461838668242e-11
32,0.38,3,0.9638151729848862,8.775837186811346e-10,true,8.222461838668242e-11
